smiles,imageName,inchiKey
[O-][N+](=O)C1=CC=C(C1)c1cc2c3cc(C4=CC=C(C4)[N+](=O)[O-])c4c5c3c(c3c2c2c1cccc2c(c3)C1=CC=C(C1)[N+](=O)[O-])cc(c5ccc4)C1=CC=C(C1)[N+](=O)[O-],0.png,AAACLBGNAMDLRM-UHFFFAOYSA-N
Sc1ccc(nc1)c1ccc(s1)/N=N\c1ccc(s1)c1ccc(cn1)S,1.png,AAVCLCWJGYZTDA-DQRAZIAOSA-N
C1=CC=C(C1)c1cc2c3cc(C4=CC=CC4)c4c5c3c(c3c2c2c1cccc2c(c3)C1=CC=CC1)cc(c5ccc4)C1=CC=CC1,2.png,ABQDDWFBVUXCCM-UHFFFAOYSA-N
ClC1=CC=C(S1(=O)=O)c1ccc(o1)/N=N/c1ccc(o1)C1=CC=C(S1(=O)=O)Cl,3.png,ACHAKXGARSBJCU-FMQUCBEESA-N
Cc1ccc(nc1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(cn1)C,4.png,ACTGLTIMWSZFGY-UHFFFAOYSA-N
O=Cn1c(O)ccc1c1ccc(s1)/N=N\c1ccc(s1)c1ccc(n1C=O)O,5.png,ADAZAFCPASNDPP-VXPUYCOJSA-N
N#Cc1cc([nH]c1)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1[nH]cc(c1)C#N,6.png,ADKRDEGKLBNGBG-UHFFFAOYSA-N
CC1=CC=C(S1(=O)=O)[C@]1(C)N=N1,7.png,ADNOQZQZUQQVRY-UHFFFAOYSA-N
N#C/N=C/c1cc2c3cc(/C=N/C#N)c4c5c3c(c3c2c2c1cccc2c(c3)/C=N/C#N)cc(c5ccc4)/C=N/C#N,8.png,ADTPNEOAPBZJMN-UHFFFAOYSA-N
O=Cn1c(Cl)ccc1c1cc2c3cc(c4ccc(n4C=O)Cl)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(n1C=O)Cl)cc(c5ccc4)c1ccc(n1C=O)Cl,9.png,AEJUBZUKERUAJG-UHFFFAOYSA-N
FC(c1ccc(nc1)c1ccc(s1)/N=N\c1ccc(s1)c1ccc(cn1)C(F)(F)F)(F)F,10.png,AEKZZCLDHFTUPJ-FLWNBWAVSA-N
Oc1ccc(n1C)c1ccc(cc1)/N=N/c1ccc(cc1)c1ccc(n1C)O,11.png,AESSLHRQUPMOFD-WCWDXBQESA-N
S/N=C\c1ccc(o1)/N=N/c1ccc(o1)/C=N/S,12.png,AFFVXBUJXLTTRV-ROZVNZQISA-N
O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ccccn1)c1ccccn1,13.png,AFHDJRYYPAMOJU-UHFFFAOYSA-N
N#C/C=C\c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)/C=C/C#N,14.png,AFVMCDTWPLMQCF-HSFFGMMNSA-N
Cc1nnc(nn1)[C@]1(C)N=N1,15.png,AFVPQFMVEBIYAA-UHFFFAOYSA-N
[O-][N+](=O)c1coc(n1)c1cc2c3cc(c4occ(n4)[N+](=O)[O-])c4c5c3c(c3c2c2c1cccc2c(c3)c1occ(n1)[N+](=O)[O-])cc(c5ccc4)c1occ(n1)[N+](=O)[O-],16.png,AFWGWVQKWXZTQB-UHFFFAOYSA-N
Sc1ccc(n1C)c1ccc(cc1)/N=N/c1ccc(cc1)c1ccc(n1C)S,17.png,AFXOODAXTQESGF-WCWDXBQESA-N
O/N=C\c1ccc(s1)/N=N\c1ccc(s1)/C=N\O,18.png,AGEDITIIUHHGKA-HUWOUMPJSA-N
FC(OC#Cc1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1C#COC(F)(F)F)(F)F,19.png,AGVURZMQTTWJBU-UHFFFAOYSA-N
