smiles,imageName,inchiKey
[O-][N+](=O)C1=CC=C(C1)c1cc2c3cc(C4=CC=C(C4)[N+](=O)[O-])c4c5c3c(c3c2c2c1cccc2c(c3)C1=CC=C(C1)[N+](=O)[O-])cc(c5ccc4)C1=CC=C(C1)[N+](=O)[O-],0.png,AAACLBGNAMDLRM-UHFFFAOYSA-N
N#Cc1c(cc(cc1c1[nH]cc(c1)C)C#N)c1[nH]cc(c1)C,1.png,AABWABYCSVIRCD-UHFFFAOYSA-N
O=Cn1cccc1c1ccc([nH]1)/N=N\c1ccc([nH]1)c1cccn1C=O,2.png,AAORCGFHHZZHNA-DQRAZIAOSA-N
Sc1ccc(nc1)c1ccc(s1)/N=N\c1ccc(s1)c1ccc(cn1)S,3.png,AAVCLCWJGYZTDA-DQRAZIAOSA-N
Sc1ccc(nc1)c1ccc(s1)/N=N/c1ccc(s1)c1ccc(cn1)S,4.png,AAVCLCWJGYZTDA-QURGRASLSA-N
C1=CC=C(C1)c1cc2c3cc(C4=CC=CC4)c4c5c3c(c3c2c2c1cccc2c(c3)C1=CC=CC1)cc(c5ccc4)C1=CC=CC1,5.png,ABQDDWFBVUXCCM-UHFFFAOYSA-N
ClC1=CC=C(S1(=O)=O)c1ccc(o1)/N=N/c1ccc(o1)C1=CC=C(S1(=O)=O)Cl,6.png,ACHAKXGARSBJCU-FMQUCBEESA-N
COc1cnc(o1)c1ccc(o1)/N=N/c1ccc(o1)c1ncc(o1)OC,7.png,ACQPYVKVSJDFCK-FMQUCBEESA-N
Cc1ccc(nc1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(cn1)C,8.png,ACTGLTIMWSZFGY-UHFFFAOYSA-N
O=Cn1c(O)ccc1c1ccc(s1)/N=N/c1ccc(s1)c1ccc(n1C=O)O,9.png,ADAZAFCPASNDPP-FMQUCBEESA-N
O=Cn1c(O)ccc1c1ccc(s1)/N=N\c1ccc(s1)c1ccc(n1C=O)O,10.png,ADAZAFCPASNDPP-VXPUYCOJSA-N
FC(O/N=C\c1ccc(cc1)/N=N/c1ccc(cc1)/C=N\OC(F)(F)F)(F)F,11.png,ADBHWIFYPVCEFF-DHTIVLMFSA-N
FC(O/N=C\c1ccc(cc1)/N=N\c1ccc(cc1)/C=N\OC(F)(F)F)(F)F,12.png,ADBHWIFYPVCEFF-DQZFJYGGSA-N
N#Cc1cc([nH]c1)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1[nH]cc(c1)C#N,13.png,ADKRDEGKLBNGBG-UHFFFAOYSA-N
FC(OC#Cc1ccc([nH]1)/N=N\c1ccc([nH]1)C#COC(F)(F)F)(F)F,14.png,ADNBYRVFYMWXLS-VHXPQNKSSA-N
CC1=CC=C(S1(=O)=O)[C@]1(C)N=N1,15.png,ADNOQZQZUQQVRY-UHFFFAOYSA-N
N#C/N=C/c1cc2c3cc(/C=N/C#N)c4c5c3c(c3c2c2c1cccc2c(c3)/C=N/C#N)cc(c5ccc4)/C=N/C#N,16.png,ADTPNEOAPBZJMN-UHFFFAOYSA-N
COc1cnc(nc1)c1ccc(cc1)/N=N\c1ccc(cc1)c1ncc(cn1)OC,17.png,AEAYIMCBGRSGQI-DQSJHHFOSA-N
COc1coc(n1)c1ccc(o1)/N=N/c1ccc(o1)c1occ(n1)OC,18.png,AEGULJNXPWYZNH-FMQUCBEESA-N
O=Cn1c(Cl)ccc1c1cc2c3cc(c4ccc(n4C=O)Cl)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(n1C=O)Cl)cc(c5ccc4)c1ccc(n1C=O)Cl,19.png,AEJUBZUKERUAJG-UHFFFAOYSA-N
FC(c1ccc(nc1)c1ccc(s1)/N=N\c1ccc(s1)c1ccc(cn1)C(F)(F)F)(F)F,20.png,AEKZZCLDHFTUPJ-FLWNBWAVSA-N
FC(c1ccc(nc1)c1ccc(s1)/N=N/c1ccc(s1)c1ccc(cn1)C(F)(F)F)(F)F,21.png,AEKZZCLDHFTUPJ-QVIHXGFCSA-N
[O-][N+](=O)c1coc(n1)c1ccc(cc1)/N=N\c1ccc(cc1)c1occ(n1)[N+](=O)[O-],22.png,AEOIGRJIPRLKBQ-DQRAZIAOSA-N
[O-][N+](=O)c1coc(n1)c1ccc(cc1)/N=N/c1ccc(cc1)c1occ(n1)[N+](=O)[O-],23.png,AEOIGRJIPRLKBQ-QURGRASLSA-N
Oc1ccc(n1C)c1ccc(cc1)/N=N\c1ccc(cc1)c1ccc(n1C)O,24.png,AESSLHRQUPMOFD-VHXPQNKSSA-N
N#CC1=CC=C(C1)c1cc2ccc3c4c2c2c1ccc1c2c4c(cc1C1=CC=C(C1)C#N)cc3,25.png,AFDQNWQLQWRHIC-UHFFFAOYSA-N
S/N=C/c1ccc(o1)/N=N/c1ccc(o1)/C=N/S,26.png,AFFVXBUJXLTTRV-YIJOZEPASA-N
O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ccccn1)c1ccccn1,27.png,AFHDJRYYPAMOJU-UHFFFAOYSA-N
N#C/C=C\c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)/C=C/C#N,28.png,AFVMCDTWPLMQCF-HSFFGMMNSA-N
Cc1nnc(nn1)[C@]1(C)N=N1,29.png,AFVPQFMVEBIYAA-UHFFFAOYSA-N
