inchi_key,smiles,homo (eV),lumo (eV),vertical_excitation_energy (eV),redox_potential_S0 (eV),redox_potential_S1 (eV),redox_potential_T1 (eV),dipole_moment_S0 (D),dipole_moment_S1 (D),dipole_moment_T1 (D),0-0_S1 (eV),0-0_T1 (eV),ionization_potential (eV)
AAACLBGNAMDLRM-UHFFFAOYSA-N,[O-][N+](=O)C1=CC=C(C1)c1cc2c3cc(C4=CC=C(C4)[N+](=O)[O-])c4c5c3c(c3c2c2c1cccc2c(c3)C1=CC=C(C1)[N+](=O)[O-])cc(c5ccc4)C1=CC=C(C1)[N+](=O)[O-],,,,,,,,,,,,
AAVCLCWJGYZTDA-DQRAZIAOSA-N,Sc1ccc(nc1)c1ccc(s1)/N=N\c1ccc(s1)c1ccc(cn1)S,-5.82759,-3.021008,,0.84,,0.64,8.24963,,8.4685,,0.2,6.4
ABQDDWFBVUXCCM-UHFFFAOYSA-N,C1=CC=C(C1)c1cc2c3cc(C4=CC=CC4)c4c5c3c(c3c2c2c1cccc2c(c3)C1=CC=CC1)cc(c5ccc4)C1=CC=CC1,-5.108121,-2.4278,,,,,1.26878,,,,,
ACHAKXGARSBJCU-FMQUCBEESA-N,ClC1=CC=C(S1(=O)=O)c1ccc(o1)/N=N/c1ccc(o1)C1=CC=C(S1(=O)=O)Cl,-6.087731,-3.646598,,1.12,,0.76,14.38676,,14.31071,,0.36,6.94
ACTGLTIMWSZFGY-UHFFFAOYSA-N,Cc1ccc(nc1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(cn1)C,-5.418603,-2.445759,,,,,5.0083,,,,,
ADAZAFCPASNDPP-VXPUYCOJSA-N,O=Cn1c(O)ccc1c1ccc(s1)/N=N\c1ccc(s1)c1ccc(n1C=O)O,-5.578334,-2.912979,,0.57,,0.37,2.0554,,2.1555,,0.2,6.36
ADKRDEGKLBNGBG-UHFFFAOYSA-N,N#Cc1cc([nH]c1)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1[nH]cc(c1)C#N,-6.550869,-3.178834,2.16,1.69,-0.6,-0.36,7.2334,7.2334,5.29395,2.29,2.05,7.76
ADNOQZQZUQQVRY-UHFFFAOYSA-N,CC1=CC=C(S1(=O)=O)[C@]1(C)N=N1,-7.045028,-2.519502,2.56,2.05,-0.67,0.45,4.96283,4.96283,5.25159,2.72,1.6,8.37
ADTPNEOAPBZJMN-UHFFFAOYSA-N,N#C/N=C/c1cc2c3cc(/C=N/C#N)c4c5c3c(c3c2c2c1cccc2c(c3)/C=N/C#N)cc(c5ccc4)/C=N/C#N,-6.211815,-3.890412,1.5,1.4,-0.16,0.53,10.0917,10.0917,10.74415,1.56,0.87,0.03
AEJUBZUKERUAJG-UHFFFAOYSA-N,O=Cn1c(Cl)ccc1c1cc2c3cc(c4ccc(n4C=O)Cl)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(n1C=O)Cl)cc(c5ccc4)c1ccc(n1C=O)Cl,,,,,,,,,,,,
AEKZZCLDHFTUPJ-FLWNBWAVSA-N,FC(c1ccc(nc1)c1ccc(s1)/N=N\c1ccc(s1)c1ccc(cn1)C(F)(F)F)(F)F,-6.193039,-3.194617,,1.12,,0.91,4.96113,,5.284,,0.21,7.01
AESSLHRQUPMOFD-WCWDXBQESA-N,Oc1ccc(n1C)c1ccc(cc1)/N=N/c1ccc(cc1)c1ccc(n1C)O,-5.363908,-2.498005,,0.51,,-0.73,0,,0,,1.24,6.05
AFFVXBUJXLTTRV-ROZVNZQISA-N,S/N=C\c1ccc(o1)/N=N/c1ccc(o1)/C=N/S,-6.154399,-3.267271,,1.25,,0.52,0.60609,,1.80965,,0.73,7.06
AFHDJRYYPAMOJU-UHFFFAOYSA-N,O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ccccn1)c1ccccn1,-7.093464,-3.157881,2.55,2.2,-0.5,-0.22,3.72903,3.72903,5.46679,2.7,2.42,7.94
